region;annee;mois;visiteurs;hebergement;depense_moyenne
Pays de la Loire;;4;beaucoup;Airbnb;NA
Corse;2019;8;beaucoup;Airbnb;-50
PACA;2023;11;-10;;NA
×le-de-France;;13;-10;Auberge;
Pays de la Loire;2023;9;-10;h“tel;-50
Occitanie;202A;janvier;-10;Airbnb;-50
Nouvelle-Aquitaine;2023;12;;Auberge;NA
PACA;2019;5;beaucoup;Airbnb;494,34
Hauts-de-France;18;9;-10;;397,4
Corse;24;7;-10;Hotel;NA
Pays de la Loire;20;5;;Auberge;
Corse;2022;6;;Camping;137,86
×le-de-France;2023;5;-10;Camping;NA
;2022;13;beaucoup;Camping;NA
;2020;janvier;beaucoup;h“tel;NA
Grand Est;2019;11;-10;Auberge;NA
Bourgogne-Franche-Comt‚;2019;6;-10;Hotel;NA
Auvergne-Rh“ne-Alpes;2020;7;2805;Hotel;NA
Normandie;2021;5;beaucoup;Airbnb;
;2023;13;4643;h“tel;NA
Centre-Val de Loire;202A;1;1842;hotl;
Corse;2020;2;2391;Auberge;-50
Nouvelle-Aquitaine;2020;4;-10;Camping;
Nouvelle-Aquitaine;2021;11;2618;Airbnb;-50
Bretagne;2022;7;;Airbnb;141,76
Provence-Alpes-C“te d'Azur;20;8;;hotl;-50
Hauts-de-France;2022;8;944;hotl;
Corse;202A;9;beaucoup;hotl;NA
Nouvelle-Aquitaine;2022;1;;Airbnb;NA
Centre-Val de Loire;202A;5;-10;h“tel;137,13
×le-de-France;2022;8;-10;Airbnb;-50
Auvergne-Rh“ne-Alpes;202A;13;2123;Hotel;NA
×le-de-France;;12;beaucoup;hotl;29,71
Nouvelle-Aquitaine;2023;12;beaucoup;Camping;NA
Bretagne;2023;3;-10;Hotel;-50
Bretagne;2019;13;2707;Airbnb;-50
×le-de-France;202A;13;;Camping;
Pays de la Loire;202A;12;beaucoup;;53,34
Grand Est;2019;7;-10;Camping;126,95
Bretagne;202A;5;;Hotel;184,07
Provence-Alpes-C“te d'Azur;2023;8;;h“tel;NA
Centre-Val de Loire;;9;beaucoup;Auberge;
Nouvelle-Aquitaine;2021;13;;Auberge;120,99
PACA;2019;1;1777;h“tel;NA
;2021;8;beaucoup;Airbnb;
Centre-Val de Loire;2019;9;beaucoup;;NA
PACA;2021;3;;Auberge;
Pays de la Loire;2022;6;-10;hotl;54,25
Provence-Alpes-C“te d'Azur;;10;;Camping;NA
Occitanie;2020;8;beaucoup;;
Pays de la Loire;2019;0;4536;h“tel;NA
Auvergne-Rh“ne-Alpes;2020;8;;h“tel;47,61
×le-de-France;2022;9;;;NA
Hauts-de-France;2021;8;beaucoup;Camping;NA
Pays de la Loire;2021;13;beaucoup;Camping;
Hauts-de-France;2022;1;-10;Airbnb;459,77
Centre-Val de Loire;2023;0;;Airbnb;
Bretagne;202A;2;-10;Airbnb;
PACA;202A;7;1436;Airbnb;66,68
Occitanie;;7;beaucoup;h“tel;244,31
ile de france;2019;2;;Hotel;NA
Corse;2020;10;1614;Camping;408,32
ile de france;202A;8;;;
Pays de la Loire;2022;11;3230;;-50
Auvergne-Rh“ne-Alpes;2022;2;-10;Camping;-50
Normandie;202A;10;beaucoup;;NA
Provence-Alpes-C“te d'Azur;202A;3;;h“tel;235,73
Occitanie;2021;12;165;h“tel;340,68
Auvergne-Rh“ne-Alpes;2020;9;;Camping;
Grand Est;202A;2;beaucoup;;
Pays de la Loire;2019;9;3826;Airbnb;
Corse;2023;9;127;Airbnb;347,51
Corse;2020;10;;h“tel;NA
Bourgogne-Franche-Comt‚;2023;3;270;Camping;164,92
Centre-Val de Loire;2022;7;3260;Auberge;
Pays de la Loire;2022;9;4440;Hotel;-50
;2019;12;;Hotel;NA
Grand Est;2022;8;beaucoup;;-50
;2023;8;4224;hotl;-50
Corse;2019;11;beaucoup;h“tel;
Hauts-de-France;202A;13;beaucoup;Hotel;-50
Provence-Alpes-C“te d'Azur;1820;10;beaucoup;Auberge;NA
Hauts-de-France;2023;5;-10;h“tel;201,48
PACA;1820;12;-10;Hotel;
×le-de-France;2021;5;-10;Airbnb;412,92
Grand Est;202A;0;beaucoup;Airbnb;-50
PACA;2023;4;;Auberge;478,83
Grand Est;;2;;Hotel;223,03
;2021;1;beaucoup;Camping;71,98
Centre-Val de Loire;2019;0;beaucoup;h“tel;-50
Pays de la Loire;;4;beaucoup;Airbnb;NA
Corse;2019;8;beaucoup;Airbnb;-50
PACA;2023;11;-10;;NA
×le-de-France;;13;-10;Auberge;
Pays de la Loire;2023;9;-10;h“tel;-50
Occitanie;202A;janvier;-10;Airbnb;-50
Nouvelle-Aquitaine;2023;12;;Auberge;NA
PACA;2019;5;beaucoup;Airbnb;494,34
Hauts-de-France;;9;-10;;397,4
Corse;;7;-10;Hotel;NA
